{'r2': 0.527, 'delta': 0.00088999999999999995, 'M1': 0.68000000000000005}
{'r2': 0.528, 'delta': 0.00012999999999999999, 'M1': 0.63}
{'r2': 0.528, 'delta': 0.00027, 'M1': 0.64000000000000001}
{'r2': 0.528, 'delta': 0.00042000000000000002, 'M1': 0.65000000000000002}
{'r2': 0.528, 'delta': 0.00056999999999999998, 'M1': 0.66000000000000003}
{'r2': 0.528, 'delta': 0.00072999999999999996, 'M1': 0.67000000000000004}
{'r2': 0.528, 'delta': 0.00089999999999999998, 'M1': 0.68000000000000005}
{'r2': 0.529, 'delta': 5.0000000000000002e-05, 'M1': 0.62}
{'r2': 0.529, 'delta': 0.00018000000000000001, 'M1': 0.63}
{'r2': 0.529, 'delta': 0.00031, 'M1': 0.64000000000000001}
{'r2': 0.529, 'delta': 0.00046000000000000001, 'M1': 0.65000000000000002}
{'r2': 0.529, 'delta': 0.00059999999999999995, 'M1': 0.66000000000000003}
{'r2': 0.529, 'delta': 0.00076000000000000004, 'M1': 0.67000000000000004}
{'r2': 0.529, 'delta': 0.00092000000000000003, 'M1': 0.68000000000000005}
{'r2': 0.53, 'delta': 0.00011, 'M1': 0.62}
{'r2': 0.53, 'delta': 0.00023000000000000001, 'M1': 0.63}
{'r2': 0.53, 'delta': 0.00036000000000000002, 'M1': 0.64000000000000001}
{'r2': 0.53, 'delta': 0.00048999999999999998, 'M1': 0.65000000000000002}
{'r2': 0.53, 'delta': 0.00063000000000000003, 'M1': 0.66000000000000003}
{'r2': 0.53, 'delta': 0.00077999999999999999, 'M1': 0.67000000000000004}
{'r2': 0.53, 'delta': 0.00093999999999999997, 'M1': 0.68000000000000005}
{'r2': 0.531, 'delta': 5.0000000000000002e-05, 'M1': 0.60999999999999999}
{'r2': 0.531, 'delta': 0.00016000000000000001, 'M1': 0.62}
{'r2': 0.531, 'delta': 0.00027999999999999998, 'M1': 0.63}
{'r2': 0.531, 'delta': 0.00040000000000000002, 'M1': 0.64000000000000001}
{'r2': 0.531, 'delta': 0.00052999999999999998, 'M1': 0.65000000000000002}
{'r2': 0.531, 'delta': 0.00066, 'M1': 0.66000000000000003}
{'r2': 0.531, 'delta': 0.00080000000000000004, 'M1': 0.67000000000000004}
{'r2': 0.531, 'delta': 0.00095, 'M1': 0.68000000000000005}
{'r2': 0.532, 'delta': -0.0, 'M1': 0.59999999999999998}
{'r2': 0.532, 'delta': 0.0001, 'M1': 0.60999999999999999}
{'r2': 0.532, 'delta': 0.00021000000000000001, 'M1': 0.62}
{'r2': 0.532, 'delta': 0.00032000000000000003, 'M1': 0.63}
{'r2': 0.532, 'delta': 0.00044000000000000002, 'M1': 0.64000000000000001}
{'r2': 0.532, 'delta': 0.00055999999999999995, 'M1': 0.65000000000000002}
{'r2': 0.532, 'delta': 0.00068999999999999997, 'M1': 0.66000000000000003}
{'r2': 0.532, 'delta': 0.00083000000000000001, 'M1': 0.67000000000000004}
{'r2': 0.532, 'delta': 0.00097000000000000005, 'M1': 0.68000000000000005}
{'r2': 0.533, 'delta': 6.0000000000000002e-05, 'M1': 0.59999999999999998}
{'r2': 0.533, 'delta': 0.00014999999999999999, 'M1': 0.60999999999999999}
{'r2': 0.533, 'delta': 0.00025000000000000001, 'M1': 0.62}
{'r2': 0.533, 'delta': 0.00036000000000000002, 'M1': 0.63}
{'r2': 0.533, 'delta': 0.00046999999999999999, 'M1': 0.64000000000000001}
{'r2': 0.533, 'delta': 0.00059000000000000003, 'M1': 0.65000000000000002}
{'r2': 0.533, 'delta': 0.00072000000000000005, 'M1': 0.66000000000000003}
{'r2': 0.533, 'delta': 0.00084000000000000003, 'M1': 0.67000000000000004}
{'r2': 0.533, 'delta': 0.00097999999999999997, 'M1': 0.68000000000000005}
{'r2': 0.534, 'delta': 2.0000000000000002e-05, 'M1': 0.58999999999999997}
{'r2': 0.534, 'delta': 0.00011, 'M1': 0.59999999999999998}
{'r2': 0.534, 'delta': 0.00020000000000000001, 'M1': 0.60999999999999999}
{'r2': 0.534, 'delta': 0.00029999999999999997, 'M1': 0.62}
{'r2': 0.534, 'delta': 0.00040000000000000002, 'M1': 0.63}
{'r2': 0.534, 'delta': 0.00051000000000000004, 'M1': 0.64000000000000001}
{'r2': 0.534, 'delta': 0.00062, 'M1': 0.65000000000000002}
{'r2': 0.534, 'delta': 0.00073999999999999999, 'M1': 0.66000000000000003}
{'r2': 0.534, 'delta': 0.00085999999999999998, 'M1': 0.67000000000000004}
{'r2': 0.534, 'delta': 0.00098999999999999999, 'M1': 0.68000000000000005}
{'r2': 0.535, 'delta': 6.9999999999999994e-05, 'M1': 0.58999999999999997}
{'r2': 0.535, 'delta': 0.00016000000000000001, 'M1': 0.59999999999999998}
{'r2': 0.535, 'delta': 0.00025000000000000001, 'M1': 0.60999999999999999}
{'r2': 0.535, 'delta': 0.00034000000000000002, 'M1': 0.62}
{'r2': 0.535, 'delta': 0.00044000000000000002, 'M1': 0.63}
{'r2': 0.535, 'delta': 0.00054000000000000001, 'M1': 0.64000000000000001}
{'r2': 0.535, 'delta': 0.00064999999999999997, 'M1': 0.65000000000000002}
{'r2': 0.535, 'delta': 0.00076000000000000004, 'M1': 0.66000000000000003}
{'r2': 0.535, 'delta': 0.00088000000000000003, 'M1': 0.67000000000000004}
{'r2': 0.536, 'delta': 5.0000000000000002e-05, 'M1': 0.57999999999999996}
{'r2': 0.536, 'delta': 0.00012, 'M1': 0.58999999999999997}
{'r2': 0.536, 'delta': 0.00020000000000000001, 'M1': 0.59999999999999998}
{'r2': 0.536, 'delta': 0.00029, 'M1': 0.60999999999999999}
{'r2': 0.536, 'delta': 0.00038000000000000002, 'M1': 0.62}
{'r2': 0.536, 'delta': 0.00046999999999999999, 'M1': 0.63}
{'r2': 0.536, 'delta': 0.00056999999999999998, 'M1': 0.64000000000000001}
{'r2': 0.536, 'delta': 0.00068000000000000005, 'M1': 0.65000000000000002}
{'r2': 0.536, 'delta': 0.00077999999999999999, 'M1': 0.66000000000000003}
{'r2': 0.536, 'delta': 0.00089999999999999998, 'M1': 0.67000000000000004}
{'r2': 0.537, 'delta': 3.0000000000000001e-05, 'M1': 0.56999999999999995}
{'r2': 0.537, 'delta': 0.0001, 'M1': 0.57999999999999996}
{'r2': 0.537, 'delta': 0.00017000000000000001, 'M1': 0.58999999999999997}
{'r2': 0.537, 'delta': 0.00025000000000000001, 'M1': 0.59999999999999998}
{'r2': 0.537, 'delta': 0.00033, 'M1': 0.60999999999999999}
{'r2': 0.537, 'delta': 0.00042000000000000002, 'M1': 0.62}
{'r2': 0.537, 'delta': 0.00051000000000000004, 'M1': 0.63}
{'r2': 0.537, 'delta': 0.00059999999999999995, 'M1': 0.64000000000000001}
{'r2': 0.537, 'delta': 0.00069999999999999999, 'M1': 0.65000000000000002}
{'r2': 0.537, 'delta': 0.00080999999999999996, 'M1': 0.66000000000000003}
{'r2': 0.537, 'delta': 0.00092000000000000003, 'M1': 0.67000000000000004}
{'r2': 0.538, 'delta': 2.0000000000000002e-05, 'M1': 0.56000000000000005}
{'r2': 0.538, 'delta': 8.0000000000000007e-05, 'M1': 0.56999999999999995}
{'r2': 0.538, 'delta': 0.00014999999999999999, 'M1': 0.57999999999999996}
{'r2': 0.538, 'delta': 0.00022000000000000001, 'M1': 0.58999999999999997}
{'r2': 0.538, 'delta': 0.00029, 'M1': 0.59999999999999998}
{'r2': 0.538, 'delta': 0.00036999999999999999, 'M1': 0.60999999999999999}
{'r2': 0.538, 'delta': 0.00044999999999999999, 'M1': 0.62}
{'r2': 0.538, 'delta': 0.00054000000000000001, 'M1': 0.63}
{'r2': 0.538, 'delta': 0.00063000000000000003, 'M1': 0.64000000000000001}
{'r2': 0.538, 'delta': 0.00072000000000000005, 'M1': 0.65000000000000002}
{'r2': 0.538, 'delta': 0.00083000000000000001, 'M1': 0.66000000000000003}
{'r2': 0.538, 'delta': 0.00093000000000000005, 'M1': 0.67000000000000004}
{'r2': 0.539, 'delta': 1.0000000000000001e-05, 'M1': 0.55000000000000004}
{'r2': 0.539, 'delta': 6.9999999999999994e-05, 'M1': 0.56000000000000005}
{'r2': 0.539, 'delta': 0.00012999999999999999, 'M1': 0.56999999999999995}
{'r2': 0.539, 'delta': 0.00019000000000000001, 'M1': 0.57999999999999996}
{'r2': 0.539, 'delta': 0.00025999999999999998, 'M1': 0.58999999999999997}
{'r2': 0.539, 'delta': 0.00033, 'M1': 0.59999999999999998}
{'r2': 0.539, 'delta': 0.00040999999999999999, 'M1': 0.60999999999999999}
{'r2': 0.539, 'delta': 0.00048999999999999998, 'M1': 0.62}
{'r2': 0.539, 'delta': 0.00056999999999999998, 'M1': 0.63}
{'r2': 0.539, 'delta': 0.00066, 'M1': 0.64000000000000001}
{'r2': 0.539, 'delta': 0.00075000000000000002, 'M1': 0.65000000000000002}
{'r2': 0.539, 'delta': 0.00084000000000000003, 'M1': 0.66000000000000003}
{'r2': 0.539, 'delta': 0.00095, 'M1': 0.67000000000000004}
{'r2': 0.54, 'delta': 1.0000000000000001e-05, 'M1': 0.54000000000000004}
{'r2': 0.54, 'delta': 6.0000000000000002e-05, 'M1': 0.55000000000000004}
{'r2': 0.54, 'delta': 0.00012, 'M1': 0.56000000000000005}
{'r2': 0.54, 'delta': 0.00017000000000000001, 'M1': 0.56999999999999995}
{'r2': 0.54, 'delta': 0.00024000000000000001, 'M1': 0.57999999999999996}
{'r2': 0.54, 'delta': 0.00029999999999999997, 'M1': 0.58999999999999997}
{'r2': 0.54, 'delta': 0.00036999999999999999, 'M1': 0.59999999999999998}
{'r2': 0.54, 'delta': 0.00044000000000000002, 'M1': 0.60999999999999999}
{'r2': 0.54, 'delta': 0.00051999999999999995, 'M1': 0.62}
{'r2': 0.54, 'delta': 0.00059999999999999995, 'M1': 0.63}
{'r2': 0.54, 'delta': 0.00068000000000000005, 'M1': 0.64000000000000001}
{'r2': 0.54, 'delta': 0.00076999999999999996, 'M1': 0.65000000000000002}
{'r2': 0.54, 'delta': 0.00085999999999999998, 'M1': 0.66000000000000003}
{'r2': 0.54, 'delta': 0.00096000000000000002, 'M1': 0.67000000000000004}
{'r2': 0.541, 'delta': 1.0000000000000001e-05, 'M1': 0.53000000000000003}
